,date,open,close,high,low,volume,code
848,2010-11-23,26.295,25.679,26.382,25.478,307731.0,601318
849,2010-11-24,25.761,26.606,26.788,25.761,339886.0,601318
850,2010-11-25,26.574,26.697,26.93,26.181,245211.0,601318
851,2010-11-26,26.524,26.094,26.56,25.939,213082.0,601318
852,2010-11-29,26.021,26.359,26.565,26.017,178628.0,601318
853,2010-11-30,26.245,25.875,26.514,25.424,259619.0,601318
854,2010-12-01,25.743,25.56,25.875,25.469,141752.0,601318
855,2010-12-02,26.245,25.976,26.496,25.967,222668.0,601318
856,2010-12-03,26.222,26.756,26.838,26.154,336934.0,601318
857,2010-12-06,26.697,27.281,27.587,26.629,341577.0,601318
858,2010-12-07,27.131,27.56,27.779,26.875,246123.0,601318
859,2010-12-08,27.473,27.026,27.674,26.989,182897.0,601318
860,2010-12-09,26.884,27.007,27.546,26.752,180810.0,601318
861,2010-12-10,26.884,27.797,27.879,26.838,331827.0,601318
862,2010-12-13,27.843,28.062,28.071,27.509,390679.0,601318
863,2010-12-14,27.843,27.82,28.368,27.756,230333.0,601318
864,2010-12-15,27.815,27.144,27.934,27.108,248198.0,601318
865,2010-12-16,27.071,26.368,27.281,26.314,343371.0,601318
866,2010-12-17,26.464,26.254,26.478,26.044,258785.0,601318
867,2010-12-20,26.396,25.656,26.455,25.332,304220.0,601318
868,2010-12-21,25.784,26.738,26.775,25.679,327823.0,601318
869,2010-12-22,26.702,26.149,26.788,25.976,204956.0,601318
870,2010-12-23,26.154,25.985,26.542,25.889,164977.0,601318
871,2010-12-24,25.862,26.012,26.336,25.656,186128.0,601318
872,2010-12-27,26.747,25.455,26.921,25.332,310757.0,601318
873,2010-12-28,25.424,25.154,25.821,25.104,219886.0,601318
874,2010-12-29,25.246,25.346,25.364,25.013,127281.0,601318
875,2010-12-30,25.351,25.2,25.515,25.04,181219.0,601318
876,2010-12-31,25.328,25.633,25.78,25.232,164760.0,601318
877,2011-01-04,25.948,25.976,26.291,25.789,245626.0,601318
878,2011-01-05,25.83,25.04,25.926,25.013,427554.0,601318
879,2011-01-06,25.077,24.004,25.077,23.484,947078.0,601318
880,2011-01-07,24.177,24.196,24.762,23.643,659013.0,601318
881,2011-01-10,24.146,23.748,24.602,23.689,282919.0,601318
882,2011-01-11,23.662,23.789,23.986,23.598,258047.0,601318
883,2011-01-12,23.858,24.187,24.282,23.735,225559.0,601318
884,2011-01-13,24.292,24.182,24.392,23.986,195120.0,601318
885,2011-01-14,24.059,23.726,24.155,23.643,154439.0,601318
886,2011-01-17,23.621,22.753,23.721,22.731,308565.0,601318
887,2011-01-18,22.758,22.822,23.073,22.616,180540.0,601318
888,2011-01-19,22.822,23.132,23.178,22.735,178341.0,601318
889,2011-01-20,23.182,22.265,23.205,22.247,221741.0,601318
890,2011-01-21,22.302,22.553,23.073,22.137,238048.0,601318
891,2011-01-24,22.685,22.069,22.685,21.909,252759.0,601318
892,2011-01-25,22.064,22.137,22.365,21.863,200780.0,601318
893,2011-01-26,22.178,22.333,22.53,22.16,148706.0,601318
894,2011-01-27,22.137,22.79,22.904,21.936,258096.0,601318
895,2011-01-28,22.79,22.548,22.89,22.32,181704.0,601318
896,2011-01-31,22.516,22.685,22.776,22.343,171980.0,601318
